title,address,categories_details,phone,website,email,category,destination
Ladengasse Uslu Gastro GmbH,"Zentralstrasse 16, 6030 Ebikon",Restaurant • Pizzeria • Takeout,tel:+41414402366,http://www.restaurant-ladengasse.ch,info@restaurant-ladengasse.ch,pizzeria,lucerne (canton)
caffè e più,"Unterfeld 4a, 6102 Malters",Pizzeria • Restaurant,tel:+41414970161,http://www.caffeepiu.ch,info@caffeepiu.ch,pizzeria,lucerne (canton)
Fulmine,"Luzernerstrasse 2A, 6037 Root",Pizzeria • Pizza Take Away,tel:+41414503636,http://www.fulmine-root.ch,,pizzeria,lucerne (canton)
Pizzeria Gelateria Da Linda,"Mühleplatz 1, 6210 Sursee",Pizzeria • Ice cream parlors,tel:+41419214403,http://www.dalinda-sursee.ch,,pizzeria,lucerne (canton)
Al Forno,"Luzernerstrasse 27, 6010 Kriens",Pizzeria • Restaurant,tel:+41413111022,http://www.ristorante-alforno.ch,,pizzeria,lucerne (canton)
Da Mario,"Centralstrasse 12, 6210 Sursee",Restaurant • Pizzeria,tel:+41419211037,,info@damario.ch,pizzeria,lucerne (canton)
Didi's Pizza-Corner 'die kleine Kneipe',"Bergblick, 6110 Wolhusen",Restaurant • Pizzeria,tel:+41414900505,,holzofenbrot@bluewin.ch,pizzeria,lucerne (canton)
Il Castello III,"Hauptgasse 5, 6130 Willisau",Restaurant • Pizzeria,tel:+41419703442,,info@ristorante-castello.ch,pizzeria,lucerne (canton)
La Strada,"Dorfstrasse 39, 6142 Gettnau",Restaurant • Pizzeria,tel:+41794446425,http://www.lastrada-willisau.ch,,pizzeria,lucerne (canton)
Restaurant Caravelle,"Denkmalstrasse 2, 6006 Luzern",Italian cuisine • Restaurants according to speciality • Swiss cuisine • Restaurant • Pizzeria,tel:+41414107464,http://www.restaurantcaravelle.ch,info@restaurantcaravelle.ch,pizzeria,lucerne (canton)
Restaurant-Pizzeria Sonne,"Dorfstrasse 13, 6275 Ballwil",Restaurant • Pizzeria,tel:+41414481318,,mattpizzeria@bluewin.ch,pizzeria,lucerne (canton)
Bistro Nihat,"Bahnhofstrasse 26, 6110 Wolhusen",Kebab Döner • Restaurant • Pizzeria • Chinese cuisine • Restaurants according to speciality,tel:+41414900144,http://www.bistronihat.ch,info@bistronihat.ch,pizzeria,lucerne (canton)
Cucina Italiana & Steak house,"Ebisquare-Strasse 1, 6030 Ebikon",Pizzeria • Steakhouse • Restaurants according to speciality,tel:+41414407979,https://www.andulino.com,andulinomos@gmail.com,pizzeria,lucerne (canton)
Fulmine,"Hauptstrasse 34, 6280 Hochdorf",Pizzeria • Restaurant,tel:+41419104888,http://www.fulmine-lieferservice.ch,,pizzeria,lucerne (canton)
Grottino,"Rüeggisingerstrasse 69, 6020 Emmenbrücke",Pizzeria • Restaurant • Home delivery service • Pizza Take Away,tel:+41412801221,http://www.pizzeria-grottino.ch,,pizzeria,lucerne (canton)
La Bestia - Pizza Pizza,"Frankenstrasse 6A, 6003 Luzern",Restaurant • Pizzeria • Takeout,tel:+41412202406,http://www.labestia-luzern.ch,info@labestia-luzern.ch,pizzeria,lucerne (canton)
La Stazione Ristorante,"Stationsstrasse 5, 6252 Dagmersellen",Pizzeria • Restaurant,tel:+41627561606,http://www.pizzeria-lastazione.ch,info@pizzeria-lastazione.ch,pizzeria,lucerne (canton)
Restaurant Café Pizzeria Muoshof,"Hellbühlstrasse 2, 6102 Malters",Restaurant • Pizzeria,tel:+41414974588,http://www.muoshof.ch,info@muoshof.ch,pizzeria,lucerne (canton)
Restaurant Pizzeria Rössli,"Dorf 17, 6218 Ettiswil",Restaurant • Pizzeria,tel:+41419803312,http://www.roessliettiswil.ch,,pizzeria,lucerne (canton)
Restaurant Pizzeria Sonne,"Zentralstrasse 7, 6030 Ebikon",Restaurant • Pizzeria,tel:+41414409040,http://sonne-danos.ch,essen@sonne-ebikon.ch,pizzeria,lucerne (canton)
Ristorante Il Gusto,"Hauptstrasse 13, 6033 Buchrain",Restaurant • Pizzeria,tel:+41414401333,https://www.ilgusto-buchrain.ch,info@ilgustobuchrain.ch,pizzeria,lucerne (canton)
Thomy's,"Gerliswilstrasse 72, 6020 Emmenbrücke",Restaurant • Pizzeria • Kebab Döner • Home delivery service,tel:+41412606666,https://tel.local.ch/de/d/Emmenbruecke/6020/Restaurant/Thomys-SRsYPTMPsvrZVXwhGfLR6Q?dwhat=bar&dwhere=emmenbr%C3%BCcke,,pizzeria,lucerne (canton)
Da Pino Lodise,"Eduard Huberstrasse 7, 6022 Grosswangen",Pizzeria • Restaurant,tel:+41419214111,,,pizzeria,lucerne (canton)
Drei Könige,"Dorf 27, 6162 Entlebuch",Hotel • Pizzeria,tel:+41414801227,,landgasthof@bluewin.ch,pizzeria,lucerne (canton)
Piazza-Verde GmbH,"Luzernstrasse 1a, 6016 Hellbühl",Restaurant • Pizzeria • Takeout,tel:+41414673826,,,pizzeria,lucerne (canton)
Restaurant Neuhof Lanterna,"Bireggstrasse 24, 6003 Luzern",Restaurant • Italian cuisine • Restaurants according to speciality • Pizzeria,tel:+41413601080,http://restaurant-neuhof.webnode.com/,restaurant_neuhof@outlook.com,pizzeria,lucerne (canton)
Restaurant Pizzeria Casa Mia,"Obgardirain 3, 6043 Adligenswil",Pizza Take Away • Restaurant • Pizzeria • Pizza delivery,tel:+41413707272,,,pizzeria,lucerne (canton)
Altstadt-Pizzeria zur Mühle,"Mühleplatz 10, 6210 Sursee",Restaurant • Pizzeria,tel:+41419215810,,,pizzeria,lucerne (canton)
Pizzeria Cavallino GmbH,"Hauptstrasse 3, 6170 Schüpfheim",Pizzeria • Restaurant,tel:+41414850525,,info@pizzeria-cavallino.ch,pizzeria,lucerne (canton)
Pizzeria-Trattoria SeeHotel Gotthard,"Gotthardstrasse 11, 6353 Weggis",Pizzeria,tel:+41413902114,,,pizzeria,lucerne (canton)
Polat AG,"Luzernerstrasse 1, 6233 Büron",Restaurant • Pizzeria,tel:+41419333322,,,pizzeria,lucerne (canton)
Restaurant Sternen,"Seetalstrasse 100, 6032 Emmen",Restaurant • Pizzeria,tel:+41412621416,,,pizzeria,lucerne (canton)
Rathaus Imbiss,"Unterstadt 2, 6210 Sursee",Pizzeria • Home delivery service,tel:+41419203719,,,pizzeria,lucerne (canton)
Restaurant Pizzeria Schlössli Da Luca,"Nebikerstrasse 18, 6247 Schötz",Pizzeria • Restaurant,tel:+41419803305,,,pizzeria,lucerne (canton)
Roni Gastro GmbH,"Industriestrasse 15, 6010 Kriens",Pizzeria,tel:+41413405060,,,pizzeria,lucerne (canton)
Gasthaus Adler,"Vorstatt 4, 6244 Nebikon",Restaurant • Pizzeria,tel:+41627562122,,,pizzeria,lucerne (canton)
Papazziano,"Ebisquare-Strasse 1, 6030 Ebikon",Pizzeria,tel:+41414500406,,info@papazziano.ch,pizzeria,lucerne (canton)
